1. Ekonometri, İstatistik ve Yöneylem bilim dallarının temel kavramlarını ve kuramlarını anlayabilme.
2. Kamu ve özel kesimin ihtiyaç duyduğu nitelikli elemanlarda aranan; ekonometri, istatistik ve yöneylem, iktisat, maliye, hukuk, işletme, muhasebe bilgisine sahip olma ve bunları kullanabilme.
3. Ekonometri, İstatistik ve Yöneylem alanlarında kuramsal bilgileri analiz etme, değerlendirme ve çözüm önerileri üretebilme.
4. Ekonometri, İstatistik ve Yöneylem alanlarında sorumluluk alma, planlayabilme ve sorumlulukları bağımsız olarak yürütebilme.
5. Yaşam boyu öğrenme ve sorgulama bilinci ile Ekonometri, İstatistik ve Yöneylem alanlarında alternatif çözümler üretebilme.
6. Öğrenim sürecinde elde edilen bilgileri neden-sonuç ilişkileri ile değerlendirebilmek; hangi bilgiye nerede, ne zaman ve niçin ihtiyaç duyulacağını öngörebilme.
7. Ekonometri, İstatistik ve Yöneylem alanlarıyla ilgili bilgi ve uygulamaları takım çalışması halinde geliştirebilme, etkinliklere dönüştürebilme ve paylaşabilme.
8. Türkçe yazılı ve sözlü iletişim yeterliliğine sahip olma; alanıyla ilgili iletişim kurabilecek düzeyde bir yabancı dili kullanabilme.
9. Toplumsal, bilimsel ve mesleki etik değerlerin bilincinde olma, değişime ve yeniliğe açık olma.
10. Güncel Ekonometri, İstatistik ve Yöneylem konularına ilişkin görüşlerini ortaya koyabilme, geliştirebilme ve olayları yorumlamada kullanabilme.
11. Ekonometri, İstatistik ve Yöneylem alanlarındaki bilgisayar programlarını kullanmada gerekli yetkinliğe sahip olma.
12. Güncel ekonomik ve sosyal konularda ilgi duyduğu bir soruna ilişkin bilimsel bir araştırma yapabilme, araştırma sonuçlarını analiz edebilme ve değerlendirebilme bilgi ve becerisine sahip olabilme.
Program Yeterliliği	TYYÇ-1 BİLGİ (Kuramsal - Uygulamalı)	TYYÇ-2 BECERİ (Bilişsel - Uygulamalı)	TYYÇ-3 YETKİNLİK (Bağımsız Çalışabilme ve Sorumluluk Alabilme)	TYYÇ-4 YETKİNLİK (Öğrenme Yetkinliği)	TYYÇ-5 YETKİNLİK (İletişim ve Sosyal Yetkinlik)	TYYÇ-6 YETKİNLİK (Alana Özgü Yetkinlik)
Program Yeterliliği	TAY-1 BİLGİ (Kuramsal - Uygulamalı)	TAY-2 BECERİ (Bilişsel - Uygulamalı)	TAY-3 YETKİNLİK (Bağımsız Çalışabilme ve Sorumluluk Alabilme)	TAY-4 YETKİNLİK (Öğrenme Yetkinliği)	TAY-5 YETKİNLİK (İletişim ve Sosyal Yetkinlik)	TAY-6 YETKİNLİK (Alana Özgü Yetkinlik)
1	Ekonometri, İstatistik ve Yöneylem bilim dallarının temel kavramlarını ve kuramlarını anlayabilme.	1,2,3					
2	Kamu ve özel kesimin ihtiyaç duyduğu nitelikli elemanlarda aranan; ekonometri, istatistik ve yöneylem, iktisat, maliye, hukuk, işletme, muhasebe bilgisine sahip olma ve bunları kullanabilme.	1,3	1,4,5				
3	Ekonometri, İstatistik ve Yöneylem alanlarında kuramsal bilgileri analiz etme, değerlendirme ve çözüm önerileri üretebilme.		1,4,5		1,4,6		
4	Ekonometri, İstatistik ve Yöneylem alanlarında sorumluluk alma, planlayabilme ve sorumlulukları bağımsız olarak yürütebilme.			1,2,3,4			
5	Yaşam boyu öğrenme ve sorgulama bilinci ile Ekonometri, İstatistik ve Yöneylem alanlarında alternatif çözümler üretebilme.				1,4,7	1,4	
6	Öğrenim sürecinde elde edilen bilgileri neden-sonuç ilişkileri ile değerlendirebilmek; hangi bilgiye nerede, ne zaman ve niçin ihtiyaç duyulacağını öngörebilme.				1,2,6		3,4
7	Ekonometri, İstatistik ve Yöneylem alanlarıyla ilgili bilgi ve uygulamaları takım çalışması halinde geliştirebilme, etkinliklere dönüştürebilme ve paylaşabilme.		1	2		2	
8	Türkçe yazılı ve sözlü iletişim yeterliliğine sahip olma; alanıyla ilgili iletişim kurabilecek düzeyde bir yabancı dili kullanabilme.					1,3,6	
9	Toplumsal, bilimsel ve mesleki etik değerlerin bilincinde olma, değişime ve yeniliğe açık olma.						1,3
10	Güncel Ekonometri, İstatistik ve Yöneylem konularına ilişkin görüşlerini ortaya koyabilme, geliştirebilme ve olayları yorumlamada kullanabilme.						1,4
11	Ekonometri, İstatistik ve Yöneylem alanlarındaki bilgisayar programlarını kullanmada gerekli yetkinliğe sahip olma.						3,4
12	Güncel ekonomik ve sosyal konularda ilgi duyduğu bir soruna ilişkin bilimsel bir araştırma yapabilme, araştırma sonuçlarını analiz edebilme ve değerlendirebilme bilgi ve becerisine sahip olabilme.		1,2,3,4,5				
1. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO1001	MATEMATİK I	Zorunlu	3	0	0	5
EKO1003	KARİYER PLANLAMA	Zorunlu	1	0	0	1
IKT1001	İKTİSAT I	Zorunlu	3	0	0	5
ISL1003	İŞLETME	Zorunlu	3	0	0	5
ISL1201	MUHASEBE I	Zorunlu	3	0	0	5
KAM1201	HUKUKA GİRİŞ	Zorunlu	3	0	0	4
ATA101	ATATÜRK İLKELERİ VE İNKILAP TARİHİ I	Zorunlu	2	0	0	2
TUD101	TÜRK DİLİ I	Zorunlu	2	0	0	2
YAD101	YABANCI DİL I (İNGİLİZCE)	Zorunlu	2	0	0	2
Toplam		31
2. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL1102	SOSYAL POLİTİKA	Zorunlu	3	0	0	4
EKO1002	MATEMATİK II	Zorunlu	3	0	0	5
EKO1202	BETİMSEL İSTATİSTİK	Zorunlu	3	0	0	5
IKT1002	İKTİSAT II	Zorunlu	3	0	0	5
ISL1202	MUHASEBE II	Zorunlu	3	0	0	5
ATA102	ATATÜRK İLKELERİ VE İNKILAP TARİHİ II	Zorunlu	2	0	0	2
TUD102	TÜRK DİLİ II	Zorunlu	2	0	0	2
YAD102	YABANCI DİL II (İNGİLİZCE)	Zorunlu	2	0	0	2
Toplam		30
3. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO2005	DOĞRUSAL CEBİR	Zorunlu	3	0	0	5
EKO2201	ÇIKARIMSAL İSTATİSTİK	Zorunlu	3	0	0	5
EKO2203	BİLGİSAYAR DESTEKLİ İSTATİSTİKSEL ANALİZ	Zorunlu	3	0	0	5
IKT2101	MİKRO İKTİSAT	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#3000]					10
Toplam		30
4. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO2004	BİLGİSAYAR PROGRAMLAMA VE VBA UYGULAMALARI	Zorunlu	3	0	0	5
EKO2104	MODEL KURMA TEKNİKLERİ	Zorunlu	3	0	0	5
EKO2202	İSTATİSTİKSEL KARAR TEORİSİ	Zorunlu	3	0	0	5
IKT2102	MAKRO İKTİSAT	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#4000]					10
Toplam		30
5. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO3101	EKONOMETRİ I	Zorunlu	3	0	0	5
EKO3109	MATEMATİKSEL İKTİSAT I	Zorunlu	3	0	0	5
EKO3201	MATEMATİKSEL İSTATİSTİK	Zorunlu	3	0	0	5
EKO3301	YÖNEYLEM ARAŞTIRMASI I	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#5000]					10
Toplam		30
6. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO3006	ARAŞTIRMA YÖNTEMLERİ	Zorunlu	3	0	0	5
EKO3102	EKONOMETRİ II	Zorunlu	3	0	0	5
EKO3112	MATEMATİKSEL İKTİSAT II	Zorunlu	3	0	0	5
EKO3302	YÖNEYLEM ARAŞTIRMASI II	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#6000]					10
Toplam		30
7. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO4003	GÜNCEL KONULAR	Zorunlu	3	0	0	5
EKO4101	EKONOMETRİK ANALİZ I	Zorunlu	3	0	0	5
EKO4203	ÇOK DEĞİŞKENLİ İSTATİSTİKSEL TEKNİKLER	Zorunlu	3	0	0	5
EKO4305	BENZETİM	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#7000]					10
Toplam		30
8. Yarıyıl Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
EKO4102	EKONOMETRİK ANALİZ II	Zorunlu	3	0	0	5
EKO4104	FİNANSAL EKONOMETRİ	Zorunlu	3	0	0	5
EKO4206	ÖRNEKLEME	Zorunlu	3	0	0	5
EKO4302	PLANLAMA VE OPTİMİZASYON	Zorunlu	3	0	0	5
	Seçmeli dersler için tıklayınız. [href=#8000]					10
Toplam		30
3. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL2101	TÜRKİYE'DE SOSYAL POLİTİKA	Seçmeli	3	0	0	5
EKO2003	OFİS PROGRAMLARI HESAP TABLOLARI	Seçmeli	3	0	0	5
EKO2107	EKONOMİK GÖSTERGELER ANALİZİ	Seçmeli	3	0	0	5
EKO2217	DEMOGRAFİ	Seçmeli	3	0	0	5
ISL2103	İŞLETME YÖNETİMİ	Seçmeli	3	0	0	5
ISL2201	MUHASEBEDE DÖNEM SONU İŞLEMLERİ	Seçmeli	3	0	0	5
ISL2203	FİNANS MATEMATİĞİ	Seçmeli	3	0	0	5
ISL2207	ŞİRKETLER MUHASEBESİ	Seçmeli	3	0	0	5
ISL2311	GİRİŞİMCİLİK	Seçmeli	3	0	0	5
KAM2403	BORÇLAR HUKUKU	Seçmeli	3	0	0	5
MLY2401	VERGİ HUKUKU	Seçmeli	3	0	0	5
ULU2105	ULUSLARARASI İLİŞKİLER	Seçmeli	3	0	0	5
4. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL2304	TÜRKİYE'NİN TOPLUMSAL YAPISI	Seçmeli	3	0	0	5
EKO2004	OFİS PROGRAMLARI -KELİME İŞLEM	Seçmeli	3	0	0	5
EKO2206	NİCEL VERİ ANALİZİ	Seçmeli	3	0	0	5
EKO2210	PARAMETRİK OLMAYAN İSTATİSTİK	Seçmeli	3	0	0	5
IKT2306	SANAYİ EKONOMİSİ	Seçmeli	3	0	0	5
IKT2402	İKTİSADİ SİSTEMLER	Seçmeli	3	0	0	5
ISL2202	MALİ TABLOLAR ANALİZİ	Seçmeli	3	0	0	5
ISL2504	TİCARET HUKUKU	Seçmeli	3	0	0	5
KAM2308	KENT ANALİZİ	Seçmeli	3	0	0	5
MLY2106	KAMU MALİYESİ	Seçmeli	3	0	0	5
ULU2304	ULUSLARARASI HUKUK	Seçmeli	3	0	0	5
5. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL3105	ÇALIŞMA EKONOMİSİ	Seçmeli	3	0	0	5
CAL3107	YOKSULLUK VE REFAH POLİTİKALARI	Seçmeli	3	0	0	5
EKO3001	R İLE İSTATİSTİKSEL ANALİZ	Seçmeli	3	0	0	5
EKO3105	EKONOMETRİK PROGRAMLAMA	Seçmeli	3	0	0	5
EKO3203	İSTATİSTİKSEL PAKET PROGRAMLARI	Seçmeli	3	0	0	5
EKO3205	NİTEL VERİ ANALİZİ	Seçmeli	3	0	0	5
EKO3209	FİNANSAL İSTATİSTİK	Seçmeli	3	0	0	5
EKO3311	PROGRAMLAMAYA GİRİŞ	Seçmeli	3	0	0	5
IKT3103	PARA TEORİSİ VE POLİTİKASI	Seçmeli	3	0	0	5
IKT3305	DÜNYA EKONOMİSİ	Seçmeli	3	0	0	5
IKT3307	ULUSLAR ARASI İKTİSAT TEORİSİ	Seçmeli	3	0	0	5
ISL3211	BANKACILIK VE MUHASEBESİ	Seçmeli	3	0	0	5
ISL3333	SATIN ALMA VE TEDARİK ZİNCİRİ YÖNETİMİ	Seçmeli	3	0	0	5
KAM3205	BİLGİ TOPLUMU VE E-DEVLET	Seçmeli	3	0	0	5
MLY3203	HAZİNE İŞLEMLERİ	Seçmeli	3	0	0	5
MLY3303	KAMU EKONOMİSİ	Seçmeli	3	0	0	5
MLY3403	DIŞ TİCARET İŞLEM VE VERGİLERİ	Seçmeli	3	0	0	5
6. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL3204	İŞ HUKUKU	Seçmeli	3	0	0	5
EKO3002	R İLE EKONOMETRİK ANALİZ	Seçmeli	3	0	0	5
EKO3010	İLERİ EXCEL	Seçmeli	3	0	0	5
EKO3108	EKONOMETRİK YAZILIM GELİŞTİRME	Seçmeli	3	0	0	5
EKO3204	İSTATİSTİKSEL SÜREÇ KONTROLÜ	Seçmeli	3	0	0	5
EKO3206	İSTATİSTİKSEL KALİTE UYGULAMALARI	Seçmeli	3	0	0	5
EKO3208	SİGORTA İSTATİSTİĞİ	Seçmeli	3	0	0	5
EKO3310	PYHTON UYGULAMALARI	Seçmeli	3	0	0	5
IKT3102	POLİTİK İKTİSAT	Seçmeli	3	0	0	5
IKT3306	İKTİSADİ PLANLAMA	Seçmeli	3	0	0	5
IKT3306	DOGAL KAYNAKLAR EKONOMİSİ	Seçmeli	3	0	0	5
IKT3308	ULUSLARARASI İKTİSAT POLİTİKASI	Seçmeli	3	0	0	5
ISL3104	İNSAN KAYNAĞI YÖNETİMİ	Seçmeli	3	0	0	5
ISL3206	MALİYET MUHASEBESİ	Seçmeli	3	0	0	5
ISL3216	MENKUL KIYMETLER ANALİZİ	Seçmeli	3	0	0	5
ISL3218	FİNANSAL TEKNİKLER	Seçmeli	3	0	0	5
ISL3308	SATIŞ GÜCÜ YÖNETİMİ	Seçmeli	3	0	0	5
ISL3310	PAZARLAMA ARAŞTIRMASI	Seçmeli	3	0	0	5
KAM3304	ÇEVRE POLİTİKALARI	Seçmeli	3	0	0	5
MLY3204	KAMU BÜTÇESİ	Seçmeli	3	0	0	5
MLY3404	TÜRK VERGİ SİSTEMİ	Seçmeli	3	0	0	5
7. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL4107	ÜCRET SİSTEMLERİ VE VERİMLİLİK	Seçmeli	3	0	0	5
CAL4205	SOSYAL GÜVENLİK HUKUKU	Seçmeli	3	0	0	5
CAL4405	KARİYER YÖNETİMİ	Seçmeli	3	0	0	5
EKO4107	TAHMİN TEKNİKLERİ	Seçmeli	3	0	0	5
EKO4111	ZAMAN SERİLERİ ANALİZİ	Seçmeli	3	0	0	5
EKO4113	UYGULAMALI EKONOMETRİ	Seçmeli	3	0	0	5
EKO4115	ÖNRAPORLAMA TEKNİKLERİ	Seçmeli	3	0	0	5
EKO4201	ALTI SİGMA	Seçmeli	3	0	0	5
EKO4205	GENELLEŞTİRİLMİŞ DOĞRUSAL MODELLER	Seçmeli	3	0	0	5
EKO4207	KATEGORİK VERİ ANALİZİ	Seçmeli	3	0	0	5
EKO4211	RİSK ANALİZİ	Seçmeli	3	0	0	5
EKO4303	KALİTE YÖNETİMİ VE PLANLAMASI	Seçmeli	3	0	0	5
EKO4305	YÖNEYLEM ARAŞTIRMASI BİLGİSAYAR UYGULAMALARI	Seçmeli	3	0	0	5
IKT4105	MAKRO EKONOMİDE YENİ GELİŞMELER	Seçmeli	3	0	0	5
IKT4203	KONJONKTÜR VE FİNANSAL KRİZLER	Seçmeli	3	0	0	5
IKT4305	AB EKONOMİSİ	Seçmeli	3	0	0	5
IKT4309	BİLGİ TEKNOLOJİ EKONOMİSİ	Seçmeli	3	0	0	5
ISL4105	HALKLA İLİŞKİLER	Seçmeli	3	0	0	5
ISL4201	MUHASEBE DENETİMİ	Seçmeli	3	0	0	5
ISL4203	ÇOK ULUSLU İŞLETMELERDE FİNANS	Seçmeli	3	0	0	5
ISL4305	MARKA YÖNETİMİ	Seçmeli	3	0	0	5
MLY4303	FAYDA MALİYET ANALİZİ	Seçmeli	3	0	0	5
ULU4107	ULUSLARARASI TERÖRİZM VE GÜVENLİK	Seçmeli	3	0	0	5
8. Yarıyıl Seçmeli Dersleri
Dersin Kodu	Dersin Adı	Dersin Türü	T1	U2	L3	AKTS
CAL4108	İSTİHDAM VE İŞSİZLİK	Seçmeli	3	0	0	5
CAL4206	İŞ SAĞLIĞI VE GÜVENLİĞİ HUKUKU	Seçmeli	3	0	0	5
EKO4006	MATLAB UYGULAMALARI	Seçmeli	3	0	0	5
EKO4110	EŞANLI DENKLEM MODELLERİ	Seçmeli	3	0	0	5
EKO4114	SINIRLI BAĞIMLI DEĞİŞKENLİ MODELLER	Seçmeli	3	0	0	5
EKO4118	PANEL VERİ EKONOMETRİSİ	Seçmeli	3	0	0	5
EKO4202	DENEY TASARIMI	Seçmeli	3	0	0	5
EKO4210	İSTATİSTİKSEL MODELLER	Seçmeli	3	0	0	5
EKO4214	ORGANİZASYONEL AĞ ANALİZİ	Seçmeli	3	0	0	5
EKO4216	YÖNETİM SİSTEMLERİNDE İSTATİSTİK	Seçmeli	3	0	0	5
IKT4106	YATIRIM PROJELERİ ANALİZİ	Seçmeli	3	0	0	5
IKT4112	TÜRKİYE EKONOMİSİ	Seçmeli	3	0	0	5
IKT4306	DİJİTAL EKONOMİ	Seçmeli	3	0	0	5
ISL4108	TOPLAM KALİTE YÖNETİMİ	Seçmeli	3	0	0	5
ISL4112	ÖRGÜTSEL İLETİŞİM	Seçmeli	3	0	0	5
ISL4308	LOJİSTİK YÖNETİMİ	Seçmeli	3	0	0	5
ISL4314	ULUSLARARASI PAZARLAMA	Seçmeli	3	0	0	5
MLY4102	MALİ TEŞVİK SİSTEMLERİ	Seçmeli	3	0	0	5
MLY4308	MALİYE POLİTİKASI	Seçmeli	3	0	0	5
T1: Teori	U2: Uygulama	L3: Laboratuvar
